Как администратор,"хочу иметь возможность создать учетную запись для нового HR/рекрутера, чтобы дать новому HR/рекрутеру данные доступа в его личный кабинет в системе."
,"хочу иметь возможность изменять права на просмотр, создание, редактирование данных о сотрудниках компании для HR, чтобы они могли выполнять строго назначенные им служебные обязанности (кадровый учет, управление персоналом)."
,"хочу иметь возможность изменять права на просмотр, создание, редактирование данных о кандидатах на должности в компании для рекрутеров, чтобы они могли выполнять строго назначенные им служебные обязанности."
"Как пользователь (здесь: любая роль, кроме кандидата)","хочу иметь возможность войти в личный кабинет в системе, чтобы пользоваться доступными мне для работы функциями."
,"хочу иметь возможность восстановить доступ к личному кабинету в системе, если забыл пароль, чтобы дальше пользоваться доступными мне для работы функциями."
,"хочу иметь возможность выйти из личного кабинета в системе, чтобы посторонние лица не получили доступ к предоставленному мне функционалу, когда меня нет на рабочем месте."
Как HR,"хочу иметь возможность переходить с любой страницы к сервисам (картотека сотрудников, подбор персонала, обучение сотрудников, льготы и компенсации, отчеты, настройки), чтобы быстро получать доступ к необходимому функционалу."
,"хочу иметь возможность видеть общую структуру компании с отображением количества работников и количеством недостающих позиций в каждом отделе, чтобы иметь представление о комплектности штата компании и возможность быстро перейти к любому отделу для отображения подробностей."
,"хочу иметь возможность видеть список сотрудников конкретного отдела с отображением общего количества работников и количества, находящихся в процессе подбора, чтобы сосредоточиться на работе с данным отделом."
,"хочу иметь возможность видеть полный список сотрудников компании с краткой информацией о них (ФИО, отдел, должность, электронная почта, телефон) и сортировкой по [Фамилии, Отделу], чтобы в нём быстро найти необходимую информацию."
,"хочу иметь возможность видеть все данные о конкретном сотруднике, занесённые в систему, чтобы иметь возможность работать с ними – выполнять задачи кадрового учета и управления персоналом."
,"хочу иметь возможность заполнять информацию о сотруднике при трудоустройстве (в соответствии с ТК РФ: паспорт, СНИЛС, ИНН, трудовой договор, документы воинского учета) и добавлять сканы документов, чтобы иметь возможность предоставлять эти данные соответствующим учреждениям по запросу (ФНС, ПФ, военный комиссариат) и использовать их в рабочих процессах (выплата заработной платы, налогов, отчислений в социальные фонды, предоставление отпуска, формирование рабочего графика). "
,"хочу иметь возможность добавлять, изменять, удалять дополнительную информацию о сотруднике (см. словарь данных: сотрудник) при его согласии, чтобы эффективно выполнять функции управления персоналом (адаптация, обучение, оценка и т.п.)."
,"хочу иметь возможность узнать об образовании сотрудника, добавлять, изменять, удалять его, чтобы адаптивно предлагать ему дополнительное обучение для профильного развития и знать полагаются ли ему льготы."
,"хочу иметь возможность узнать, чему обучался и чему планирует обучаться сотрудник (тренинги, курсы, повышение квалификации и т.п.), добавлять, изменять, удалять эти данные, чтобы проанализировать результаты этих мероприятий и инициировать процесс изменения грейда/должности/отдела."
,"хочу иметь возможность узнать об актуальном состоянии документов воинского учета сотрудников (см. словарь данных: воинский учет сотрудника), добавлять, изменять, удалять их, чтобы иметь возможность передать эти данные в государственные органы (согласно текущему законодательству РФ) и уведомить требуемых сотрудников о необходимости взаимодействия с государственными органами (согласно текущему законодательству РФ)."
,"хочу иметь возможность удобно и быстро узнать об отсутствии у меня сканов документов сотрудника (паспорт, СНИЛС, ИНН, трудовой договор, сертификаты обучения), добавлять, изменять, удалять их, чтобы удостовериться в их наличии и хранить цифровую копию этих данных."
,"хочу иметь возможность добавлять, изменять, удалять данные об отпуске сотрудников (см. словарь данных: отпуск сотрудника), чтобы напоминать им о необходимости согласования отпуска, составлять сводный график отпусков, вести контроль за его исполнением."
,"хочу иметь возможность заполнять рабочую информацию о сотруднике (служебный номер телефона и почта), чтобы иметь возможность быстрого контакта с сотрудником в компании."
,"хочу иметь возможность добавлять скан согласия на обработку персональных данных взятый при трудоустройстве, чтобы соблюсти действующее законодательство РФ (152-ФЗ)."
,"хочу иметь возможность добавлять и обновлять фото сотрудника, чтобы иметь возможность визуально его узнавать, использовать в корпоративных процессах (доска почёта, например) при наличии согласия от сотрудника."
,"хочу иметь возможность видеть передвижение сотрудника по должностям в компании, чтобы отследить его карьерную траекторию (данная информация может пригодиться при повышении в должности\пересмотре заработной платы и т.д., для отчётности)."
,"хочу иметь возможность вести учёт льгот сотрудника, чтобы включить их в расходы компании и предложить сотруднику те из них, которых у него ещё нет (примеры: ДМС, скидка в спортзал, скидка или полная оплата обучения и т.п.)."
,"хочу иметь возможность узнать об особых профессиональных навыках сотрудника, чтобы оценить уровень его компетенций на желаемую должность или порекомендовать его на временную замену\консультацию в другие отделы."
,"хочу иметь возможность узнать об изученных сотрудником иностранных языках, чтобы учитывать это при составлении программы корпоративного обучения или планировании командировок."
,"хочу иметь возможность узнать о хобби сотрудника, чтобы построить тимбилдинг на общих интересах, помочь коллегам с идей для подарка на день рождения."
,"хочу иметь возможность узнать о предыдущем опыте работы (название компаний, периоды работы, занимаемые должности, функционал, награды) сотрудника, чтобы отследить его карьерную траекторию (данная информация может пригодиться при повышении в должности и/или пересмотре заработной платы и т.д., для отчётности)."
,"хочу иметь возможность узнать информацию о поле сотрудника, чтобы предложить ему подходящие льготы, для отчётности."
,"хочу иметь возможность добавлять нового сотрудника путем загрузки его данных из анкеты кандидата (см. словарь данных: кандидат), чтобы упростить процесс оформления."
Как рекрутер,"хочу иметь возможность видеть список недостающих позиций в отделах компании, чтобы иметь представление о потребностях компании в кандидатах и возможность быстро перейти к любой позиции для отображения подробностей."
,"хочу иметь возможность видеть все требования к кандидату на конкретную позицию (включая список профессиональных навыков), чтобы при поиске правильно формулировать требования и иметь возможность фильтровать нерелевантные предложения."
,"хочу иметь возможность просматривать, добавлять, изменять, удалять данные о найденном мной кандидате (см. словарь данных: кандидат), чтобы эффективно выполнять функции подбора персонала."
